PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
4.9,35966.0,-32.7,-76.7,-72.5,0.0,1.0,0.23,280.0,53.0,1100.3,1104.0,1100.4
5.1,35650.0,-32.3,-76.3,-72.0,0.0,1.0,0.23,272.0,53.0,1088.2,1092.0,1088.4
5.3,35357.0,-36.95,-79.44999999999999,-75.2,0.0,1.0,0.135,270.0,63.5,1053.9,1056.1,1054.0
5.5,35124.0,-37.9,-79.9,-75.7,0.0,1.0,0.12,264.0,52.0,1040.3,1042.2,1040.3
5.8,34781.0,-37.4,-79.8,-75.5,0.0,1.0,0.12,275.0,74.0,1027.0,1028.8,1027.1
6.1,34442.0,-36.3,-79.05,-74.75,0.0,1.0,0.125,265.0,56.5,1017.8,1019.8,1017.9
6.4,34138.0,-36.0,-78.8,-74.6,0.0,1.0,0.13,275.0,45.0,1005.7,1007.6,1005.7
6.6,33833.0,-34.2,-77.8,-73.5,0.0,1.0,0.14,275.0,59.0,1002.0,1004.2,1002.1
6.7,33808.5,-35.349999999999994,-78.35,-74.05,0.0,1.0,0.13,259.0,29.0,994.9,996.8,995.0
6.9,33547.5,-35.3,-77.75,-73.5,0.5,1.0,0.14,248.5,21.0,985.35,987.35,985.4
7.0,33487.0,-35.3,-78.35,-74.1,0.0,1.0,0.125,251.5,31.5,982.7,984.55,982.8
7.1,33274.0,-40.7,-80.7,-76.5,1.0,1.0,0.08,90.0,82.0,955.6,956.8,955.6
7.2,33223.0,-36.6,-78.4,-74.15,0.5,1.0,0.12,237.5,18.0,967.1,968.8,967.15
7.3,33208.0,-40.15,-81.25,-77.0,0.0,1.0,0.075,250.0,40.5,950.75,951.85,950.8
7.6,32918.0,-38.0,-79.2,-75.0,0.5,1.0,0.1,235.0,19.0,949.0,950.45,949.05
7.7,32815.0,-40.9,-79.9,-75.7,1.0,1.0,0.09,216.0,18.0,932.9,934.1,932.9
7.9,32614.0,-36.8,-79.45,-75.25,0.0,1.0,0.095,252.5,27.0,941.6,942.9,941.7
8.0,32559.0,-38.6,-79.5,-75.3,0.5,1.0,0.09,246.0,20.5,931.85,933.15,931.95
8.1,32477.0,-35.7,-78.7,-74.5,0.0,1.0,0.1,291.0,24.0,940.0,941.5,940.1
8.3,32283.75,-38.525,-80.6,-76.4,0.0,1.0,0.075,230.0,31.75,922.95,924.0,923.0
8.5,32179.0,-43.1,-83.1,-78.9,0.0,1.0,0.05,130.0,15.0,898.3,898.9,898.3
8.7,32004.0,-41.8,-82.39999999999999,-78.23333333333333,0.0,1.0,0.05,221.66666666666663,13.333333333333334,897.3000000000001,898.0333333333333,897.3333333333334
8.8,31818.5,-39.05,-80.55000000000001,-76.35,0.0,1.0,0.07,105.5,40.0,904.8,905.75,904.85
9.0,31721.4,-42.04,-82.62,-78.46000000000001,0.2,1.0,0.05,200.0,21.2,887.46,888.1,887.4799999999999
9.1,31699.0,-42.1,-82.525,-78.35,0.0,1.0,0.05,216.25,11.0,884.9,885.6,884.975
9.2,31407.0,-38.5,-80.5,-76.3,0.0,1.0,0.07,90.0,67.0,895.8,896.7,895.8
9.4,31394.0,-42.8,-83.5,-79.3,0.0,1.0,0.04,350.0,10.0,872.7,873.3,872.8
9.5,31397.5,-44.2,-83.53333333333333,-79.36666666666666,0.5,1.0,0.0366666666666666,250.5,10.5,866.2333333333332,866.7333333333332,866.2333333333332
9.6,31367.5,-43.6,-83.2,-79.05,0.5,1.0,0.04,139.5,10.0,865.85,866.4,865.85
9.7,31146.0,-41.8,-81.3,-77.1,1.0,1.0,0.055,124.0,37.0,869.9,870.65,869.95
9.9,31090.0,-44.9,-84.22,-80.08,0.2,1.0,0.0339999999999999,214.0,13.2,853.14,853.5799999999999,853.14
10.0,30942.068965517243,-52.61724137931035,-84.34137931034483,-80.23103448275862,7.586206896551724,15.0,0.0351724137931034,196.20689655172413,23.724137931034484,822.1206896551724,822.5586206896552,822.1379310344828
10.1,30925.0,-44.2,-83.69999999999999,-79.55000000000001,0.5,1.0,0.035,158.0,39.0,851.0,851.45,851.0
10.2,30891.0,-44.7,-83.36666666666666,-79.26666666666667,0.3333333333333333,1.0,0.0433333333333333,137.66666666666666,23.0,846.7666666666668,847.3333333333334,846.7666666666668
10.3,30815.0,-46.9,-86.15,-82.1,0.0,1.0,0.025,18.5,12.0,836.05,836.3499999999999,836.05
10.4,30790.42857142857,-45.68571428571429,-84.15714285714286,-80.04285714285713,0.5714285714285714,1.0,0.0328571428571428,180.7142857142857,13.857142857142858,838.7285714285715,839.1285714285714,838.7285714285715
10.5,30763.0,-44.95,-83.875,-79.75,0.5,1.0,0.035,136.75,15.0,839.375,839.8,839.375
10.6,30717.0,-42.9,-82.9,-78.7,0.0,1.0,0.04,51.0,12.0,844.1,844.6,844.1
10.8,30504.5,-46.3,-83.925,-79.8,0.75,1.0,0.0325,101.25,22.0,827.05,827.475,827.05
10.9,30480.0,-44.98571428571428,-83.64285714285714,-79.48571428571428,0.4285714285714285,1.0,0.0357142857142857,200.7142857142857,17.714285714285715,829.7571428571429,830.2142857142857,829.7857142857143
11.0,30418.125,-43.8125,-82.70625,-78.5375,0.4375,1.0,0.04,147.1875,25.1875,832.0125,832.5125,832.025
11.1,30298.25,-44.1,-82.8,-78.6375,0.5,1.125,0.04,101.75,44.25,828.7375,829.25,828.75
11.2,30289.33333333333,-41.36666666666667,-80.7,-76.5,0.6666666666666666,1.0,0.0533333333333333,83.33333333333333,36.66666666666666,836.4666666666667,837.1333333333333,836.5
11.3,30120.33333333333,-49.66666666666666,-83.73333333333333,-79.6,3.1666666666666665,6.0,0.0349999999999999,189.0,34.0,804.3333333333334,804.7333333333332,804.3333333333334
11.4,30191.285714285717,-44.7,-83.13571428571429,-78.99285714285715,0.5714285714285714,1.0,0.0364285714285714,161.78571428571428,14.5,820.2785714285714,820.7428571428571,820.2857142857143
11.5,30054.33333333333,-43.98333333333333,-82.81666666666666,-78.66666666666667,0.3333333333333333,1.1666666666666667,0.0383333333333333,141.66666666666666,21.33333333333333,820.75,821.2166666666667,820.7666666666668
11.6,30021.0,-46.9,-85.22,-81.14,0.4,1.0,0.028,143.4,28.6,808.3399999999999,808.6600000000001,808.36
11.7,29953.0,-47.1,-85.1,-80.94999999999999,0.5,1.0,0.025,136.0,39.0,805.7,806.0,805.7
11.8,29884.6,-47.56,-84.42,-80.3,0.8,1.0,0.03,176.6,23.6,801.86,802.2,801.86
