PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
100.0,16620.209055535903,-78.71605942695436,-87.16041740360807,-83.11881853555005,27.436858860983374,53.86628935267068,2.829854969932791e-05,234.14220021223912,24.523523169437567,375.3900955076052,375.40686239830205,375.3900955076052
100.3,16500.0,-75.5,-100.45,-97.75,43.5,82.0,0.01,257.5,60.0,381.2,381.25,381.2
100.5,16500.0,-79.3,-93.0,-89.2,9.0,18.0,0.0,265.0,52.0,373.7,373.7,373.7
100.7,16500.0,-76.1,-73.9,-69.6,140.0,270.0,0.02,295.0,49.0,379.6,379.7,379.6
100.9,16500.0,-78.1,-88.0,-84.0,19.0,37.0,0.0,225.0,46.0,375.7,375.7,375.7
101.0,16568.528925619834,-79.50619834710744,-86.93512396694214,-82.88677685950412,32.13223140495868,63.16115702479339,0.00016528925619834712,237.78925619834712,24.68595041322314,372.8086776859504,372.81859504132234,372.8086776859504
101.1,16479.5,-78.575,-81.45,-77.3,113.75,223.75,0.005,260.0,31.75,374.475,374.5,374.475
101.2,16472.666666666668,-79.06666666666666,-85.26666666666667,-81.13333333333334,38.0,74.66666666666667,0.0,241.66666666666666,40.0,373.3666666666666,373.43333333333334,373.40000000000003
101.4,16459.0,-77.73333333333333,-87.26666666666667,-83.23333333333333,22.666666666666668,44.666666666666664,0.0,258.3333333333333,37.666666666666664,375.8333333333333,375.8333333333333,375.8333333333333
101.6,16470.714285714286,-77.87142857142858,-88.21428571428571,-84.21428571428571,37.142857142857146,72.85714285714286,0.0014285714285714286,274.2857142857143,28.285714285714285,375.2714285714286,375.2714285714286,375.2714285714286
101.7,16459.0,-71.95,-85.9,-81.80000000000001,11.0,21.0,0.0,285.0,31.0,386.6,386.6,386.6
101.8,16459.0,-78.14,-87.76,-83.72,22.6,44.4,0.0,274.0,28.4,374.64,374.64,374.64
101.9,16472.666666666668,-76.10000000000001,-85.86666666666667,-81.8,34.0,66.33333333333333,0.0,261.6666666666667,27.666666666666668,378.3666666666666,378.40000000000003,378.3666666666666
102.0,16501.993399339935,-78.89339933993399,-86.92640264026403,-82.87623762376238,29.372937293729372,57.617161716171616,0.0,247.33663366336634,23.09240924092409,372.9369636963696,372.94851485148513,372.9369636963696
102.1,16459.0,-76.01818181818182,-85.67272727272727,-81.5909090909091,23.727272727272727,46.27272727272727,0.0,258.1818181818182,33.09090909090909,378.37272727272733,378.39090909090913,378.37272727272733
102.2,16465.833333333332,-77.64999999999999,-87.75,-83.75,20.333333333333332,39.666666666666664,0.0,275.0,27.5,375.1333333333334,375.15000000000003,375.1333333333334
102.3,16459.0,-77.84583333333333,-86.4375,-82.375,25.541666666666668,49.75,0.0004166666666666667,254.58333333333334,34.5,374.57916666666665,374.58750000000003,374.57916666666665
102.4,16479.5,-78.85,-81.45,-77.25,106.5,210.0,0.005,187.5,11.0,372.55,372.55,372.55
102.5,16459.0,-78.31538461538462,-87.01538461538462,-82.98076923076923,25.5,49.84615384615385,0.0,250.3846153846154,27.807692307692307,373.5269230769231,373.53846153846155,373.5307692307692
102.6,16465.833333333332,-76.16666666666667,-87.08333333333333,-83.03333333333333,22.166666666666668,43.166666666666664,0.0,300.8333333333333,19.333333333333332,377.5333333333333,377.5333333333333,377.5333333333333
102.7,16459.0,-78.53571428571429,-86.85714285714286,-82.80714285714285,26.928571428571427,53.0,0.0,265.7142857142857,33.57142857142857,372.90714285714284,372.90714285714284,372.90714285714284
102.8,16459.0,-77.91818181818182,-86.69090909090909,-82.60909090909091,24.90909090909091,48.63636363636363,0.0,266.3636363636364,27.09090909090909,373.9636363636364,373.97272727272724,373.9636363636364
102.9,16459.0,-80.0,-85.92307692307692,-81.83846153846154,38.23076923076923,75.46153846153847,0.0,235.0,34.23076923076923,369.9,369.9153846153846,369.9
103.0,16448.51396648045,-78.59469273743017,-86.65307262569833,-82.5963687150838,29.075418994413408,56.9804469273743,0.0,240.1536312849162,23.935754189944134,372.46787709497204,372.4812849162011,372.468156424581
103.1,16459.0,-80.8,-86.89999999999999,-82.86363636363636,37.0,72.81818181818181,0.0,222.27272727272728,21.454545454545453,368.1545454545454,368.1636363636364,368.1636363636364
103.2,16459.0,-78.32666666666667,-86.76666666666667,-82.69333333333334,25.8,50.46666666666667,0.0,232.66666666666666,19.933333333333334,372.8266666666667,372.8333333333333,372.8266666666667
103.3,16459.0,-79.88571428571429,-86.61428571428571,-82.54285714285713,36.857142857142854,72.57142857142857,0.0,243.57142857142858,23.571428571428573,369.6857142857143,369.7,369.6857142857143
103.4,16459.0,-78.87647058823529,-86.62941176470588,-82.57058823529412,29.235294117647058,57.470588235294116,0.0,210.0,23.352941176470587,371.52941176470586,371.5411764705882,371.52941176470586
103.5,16459.0,-80.64999999999999,-86.63333333333333,-82.56666666666666,41.0,81.33333333333333,0.0,136.66666666666666,14.5,368.0333333333333,368.04999999999995,368.0333333333333
103.6,16459.0,-80.7,-86.39285714285714,-82.32857142857142,39.07142857142857,77.0,0.0,240.71428571428572,21.142857142857142,367.8142857142857,367.82142857142856,367.8142857142857
103.7,16467.2,-73.36,-86.32000000000001,-82.28,25.6,50.2,0.0,226.0,22.8,381.78000000000003,381.8,381.78000000000003
103.8,16459.0,-79.67272727272727,-87.47272727272728,-83.44545454545454,29.818181818181817,58.63636363636363,0.0,182.72727272727272,23.272727272727273,369.6363636363636,369.6363636363636,369.6363636363636
103.9,16459.0,-81.13333333333334,-89.66666666666667,-85.73333333333333,28.0,55.333333333333336,0.0,255.0,25.0,366.76666666666665,366.76666666666665,366.76666666666665
104.0,16392.455040871933,-78.50272479564033,-86.6234332425068,-82.56594005449591,28.91825613079019,56.70299727520436,2.7247956403269754e-05,243.0190735694823,24.580381471389646,371.6144414168937,371.6283378746594,371.6152588555858
104.1,16459.0,-79.175,-86.125,-82.025,32.25,63.5,0.0,243.75,18.0,370.25,370.275,370.25
104.2,16459.0,-81.45,-85.8,-81.7,48.5,95.5,0.0,182.5,21.0,365.79999999999995,365.79999999999995,365.79999999999995
104.4,16459.0,-80.575,-87.625,-83.575,34.25,67.75,0.0,275.0,17.25,367.25,367.275,367.25
104.5,16459.0,-81.85,-89.75,-85.8,26.0,51.0,0.0,197.5,26.0,364.70000000000005,364.70000000000005,364.70000000000005
104.6,16459.0,-80.05,-85.85,-81.75,38.0,74.5,0.0,245.0,15.0,368.1,368.15,368.1
104.7,16459.0,-79.3,-89.15,-85.15,21.0,41.0,0.0,22.5,18.5,369.4,369.4,369.4
104.8,16459.0,-81.94999999999999,-87.15,-83.1,41.5,82.5,0.0,125.0,17.5,364.2,364.25,364.2
105.0,16335.205962059621,-78.33983739837399,-86.3260162601626,-82.2560975609756,30.100271002710027,58.94579945799458,8.130081300813008e-05,242.3360433604336,26.67208672086721,370.91219512195124,370.9222222222222,370.91219512195124
105.4,16200.0,-71.1,-73.5,-69.2,70.0,132.0,0.02,255.0,78.0,384.3,384.4,384.4
106.0,16284.218592964824,-78.21834170854272,-86.178391959799,-82.10603015075377,29.477386934673365,57.65577889447236,2.5125628140703518e-05,241.46733668341707,26.87437185929648,370.1422110552764,370.15477386934674,370.143216080402
106.5,19800.0,28.6,19.6,19.6,58.0,58.0,169.87,100.0,13.0,572.2,3205.8,622.7
106.6,16154.0,-77.5,-86.7,-82.7,22.0,42.0,0.0,240.0,27.0,370.9,370.9,370.9
106.7,16154.0,-76.5,-85.8,-81.7,24.0,46.5,0.0,260.0,63.0,372.8,372.8,372.8
106.9,16154.0,-76.0,-86.35,-82.30000000000001,18.5,35.5,0.0,210.0,42.5,373.5,373.5,373.5
107.0,16227.315315315316,-77.88018018018019,-86.15157657657659,-82.07792792792793,28.12837837837838,55.0,0.0,244.0900900900901,27.27027027027027,369.7903153153153,369.80292792792795,369.7903153153153
107.1,16154.0,-71.15,-85.05,-80.95,11.5,21.0,0.0,270.0,33.0,382.45,382.45,382.45
107.2,16154.0,-74.44,-86.22,-82.17999999999999,15.2,29.2,0.0,269.0,41.0,376.1,376.12,376.1
107.3,16154.0,-72.9,-85.9,-81.8,12.0,24.0,0.0,260.0,38.0,378.9,378.9,378.9
107.4,16154.0,-74.16666666666667,-86.8,-82.75,16.5,31.833333333333332,0.0,263.3333333333333,45.166666666666664,376.45,376.4666666666667,376.45
107.5,16154.0,-80.85,-85.05,-80.95,50.5,100.0,0.0,275.0,53.5,363.65,363.65,363.65
107.6,16154.0,-75.05,-86.16,-82.08,19.4,37.7,0.0,255.5,35.7,374.56,374.56,374.56
107.7,16160.57142857143,-77.47142857142856,-86.88571428571429,-82.87142857142858,22.714285714285715,44.0,0.0,282.14285714285717,34.285714285714285,369.88571428571424,369.9142857142857,369.88571428571424
107.8,16154.0,-76.53571428571429,-86.21428571428571,-82.14285714285714,22.214285714285715,43.142857142857146,0.0,237.85714285714286,30.0,371.5571428571429,371.5857142857143,371.5571428571429
107.9,16154.0,-75.92857142857143,-85.44285714285715,-81.3142857142857,24.0,47.0,0.0,251.42857142857142,31.428571428571427,372.5857142857143,372.61428571428576,372.5857142857143
108.0,16170.51,-77.67575,-85.98200000000001,-81.90275,28.515,55.6825,0.0,245.73,29.15,369.19199999999995,369.20275000000004,369.19275
108.1,16154.0,-77.17777777777778,-84.63333333333334,-80.52222222222223,53.0,103.77777777777777,0.0022222222222222222,272.22222222222223,32.111111111111114,370.06666666666666,370.0777777777778,370.06666666666666
108.2,16154.0,-78.73125,-85.59375,-81.50625,35.5,69.5,0.0,262.5,29.1875,366.99375,367.0,366.99375
108.3,16154.0,-78.05,-85.675,-81.5875,31.125,60.75,0.0,272.5,28.625,368.1875,368.2375,368.2
108.4,16154.0,-76.75714285714285,-85.54285714285713,-81.45714285714287,25.571428571428573,49.57142857142857,0.0,252.85714285714286,37.142857142857146,370.5142857142857,370.5142857142857,370.5142857142857
108.5,16154.0,-77.9625,-85.175,-81.05624999999999,33.6875,65.9375,0.000625,241.5625,28.125,368.16875,368.19375,368.175
108.6,16154.0,-77.97500000000001,-85.5,-81.40833333333333,30.5,59.916666666666664,0.0,243.33333333333334,31.583333333333332,368.05,368.05,368.05
108.7,16154.0,-76.82,-85.44,-81.33999999999999,26.8,51.93333333333333,0.0,246.0,25.533333333333335,370.1333333333333,370.14000000000004,370.1333333333333
108.8,16154.0,-78.875,-85.9125,-81.8375,33.0,64.5,0.0,242.5,27.5,366.125,366.15,366.1375
